PKProductID,ProductName,Product Type,Serving Amount,ABV,IBU,Description
"SSBC0001","Bamboo Grove Maibock","Tasting Room Pour",1,0.065,32,"Our flagship (and best-selling!) beer. Enjoy our malty and"
"SSBC0002","Han Dynasty Spiced Lager","Tasting Room Pour",1,0.048,18,""
"SSBC0003","Imperial Poet Porter","Tasting Room Pour",1,0.095,25,"Feeling short on creativity? Follow the lead of the Seven"
"SSBC0004","Scholar's Saison","Tasting Room Pour",1,0.06,28,"Our Belgian-style saison tastes like sunshine on a"
"SSBC0005","Henan Hops Wheat Beer","Tasting Room Pour",1,0.07,68,"Henan Hops Wheat beer is both named after the Seven"
"SSBC0006","Liu Ling's IPA","Tasting Room Pour",1,0.051,20,"While Liu Ling is most famous for his poetry on wine, we"
"SSBC1001","Bamboo Grove Maibock","Six-Pack",6,0.065,32,"gently-hopped maibock as you discuss the mysteries of"
"SSBC1002","Han Dynasty Spiced Lager","Six-Pack",6,0.048,18,"Intriguing and satisfying, our Han Dynasty Spiced lager is"
"SSBC1003","Imperial Poet Porter","Six-Pack",6,0.095,25,"Sages and enjoy a stronger beverage to enliven your"
"SSBC1004","Scholar's Saison","Six-Pack",6,0.06,28,"mellow fall morning. Gentle, earthy malt notes balance a"
"SSBC1005","Henan Hops Wheat Beer","Six-Pack",6,0.07,68,"Sages home province and flavored to align with the"
"SSBC1006","Liu Ling's IPA","Six-Pack",6,0.051,20,"believe our IPA would make him a convert! Liu Ling's"
"SSBC2001","Bamboo Grove Maibock","half keg",124,0.065,32,"the human condition with friends. Goes well with"
"SSBC2002","Han Dynasty Spiced Lager","half keg",124,0.048,18,"Western China, including cinnamon, cassia and sumac."
"SSBC2003","Imperial Poet Porter","half keg",124,0.095,25,"malty sweetness many find irrestable. Just ensure you"
"SSBC2004","Scholar's Saison","half keg",124,0.06,28,"very mild bitterness,imparted by a unique combination of"
"SSBC2005","Henan Hops Wheat Beer","half keg",124,0.07,68,"province's key flavors, including millet, dates, and of"
"SSBC2006","Liu Ling's IPA","half keg",124,0.051,20,"IPA is a lush, juicy drink with notes of grapefruit and"
"SSBC3001","Bamboo Grove Maibock","Keg",248,0.065,32,"bratwurst, asiago, and contemplative thought."
"SSBC3002","Han Dynasty Spiced Lager","Keg",248,0.048,18,""
"SSBC3003","Imperial Poet Porter","Keg",248,0.095,25,"have a scribe on hand to capture any profound musings."
"SSBC3004","Scholar's Saison","Keg",248,0.06,28,"Mosaic and Mt Hood Hops."
"SSBC3005","Henan Hops Wheat Beer","Keg",248,0.07,68,"course, wheat!"
"SSBC3006","Liu Ling's IPA","Keg",248,0.051,20,"pine."
