ProductKey,ProductSubcategoryKey,ProductSKU,ProductName,ModelName,ProductDescription,ProductColor,ProductStyle,ProductCost,ProductPrice,DiscountPrice,SKUType,Price Point,SKU Category
215,31,"HL-U509","Sport-100 Helmet, Black","Sport-100","Universal fit, well-vented, lightweight , snap-on visor.","Black","NA",12.03,33.64,28.59,"HL-U509","Low","HL"
253,14,"FR-R38B-58","LL Road Frame - Black, 58","LL Road Frame","The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.","Black","U",176.2,297.63,252.99,"FR-R38B","Mid-Range","FR"
256,14,"FR-R38B-60","LL Road Frame - Black, 60","LL Road Frame","The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.","Black","U",176.2,297.63,252.99,"FR-R38B","Mid-Range","FR"
259,14,"FR-R38B-62","LL Road Frame - Black, 62","LL Road Frame","The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.","Black","U",176.2,297.63,252.99,"FR-R38B","Mid-Range","FR"
279,14,"FR-R38B-44","LL Road Frame - Black, 44","LL Road Frame","The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.","Black","U",176.2,297.63,252.99,"FR-R38B","Mid-Range","FR"
282,14,"FR-R38B-48","LL Road Frame - Black, 48","LL Road Frame","The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.","Black","U",176.2,297.63,252.99,"FR-R38B","Mid-Range","FR"
285,14,"FR-R38B-52","LL Road Frame - Black, 52","LL Road Frame","The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.","Black","U",176.2,297.63,252.99,"FR-R38B","Mid-Range","FR"
296,12,"FR-M94B-42","HL Mountain Frame - Black, 42","HL Mountain Frame","Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.","Black","U",617.03,1191.17,1012.49,"FR-M94B","High","FR"
299,12,"FR-M94B-44","HL Mountain Frame - Black, 44","HL Mountain Frame","Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.","Black","U",699.09,1349.6,1147.16,"FR-M94B","High","FR"
300,12,"FR-M94B-48","HL Mountain Frame - Black, 48","HL Mountain Frame","Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.","Black","U",699.09,1349.6,1147.16,"FR-M94B","High","FR"
301,12,"FR-M94B-46","HL Mountain Frame - Black, 46","HL Mountain Frame","Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.","Black","U",617.03,1191.17,1012.49,"FR-M94B","High","FR"
304,12,"FR-M94B-38","HL Mountain Frame - Black, 38","HL Mountain Frame","Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.","Black","U",617.03,1191.17,1012.49,"FR-M94B","High","FR"
332,2,"BK-R50B-58","Road-650 Black, 58","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","Black","U",413.15,699.1,594.24,"BK-R50B","High","BK"
334,2,"BK-R50B-60","Road-650 Black, 60","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","Black","U",413.15,699.1,594.24,"BK-R50B","High","BK"
336,2,"BK-R50B-62","Road-650 Black, 62","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","Black","U",413.15,699.1,594.24,"BK-R50B","High","BK"
