ProductID,SupplierID,ProductCategoryID,ProductName,UnitPrice,UnitsInStock,LastUpdatedDate,RackNumber
111,10,12,"Women T-Shirts",30,1000,2020-03-20 00:00:00.000,"1-A"
112,10,12,"Pantalons & Shorts",28,1500,2020-04-20 00:00:00.000,"1-A"
113,10,12,"Robes",20.69,120,2020-06-20 00:00:00.000,"1-A"
114,10,12,"Nightwear",15.99,250,2020-06-17 00:00:00.000,"1-B"
115,10,11,"Men T-shirts",25,1000,2020-06-28 00:00:00.000,"1-C"
116,10,11,"Shirts",45,678,2020-06-23 00:00:00.000,"1-C"
117,10,11,"Pyjamas",10.99,370,2020-06-24 00:00:00.000,"1-D"
118,10,11,"Ties",30,176,2020-05-20 00:00:00.000,"1-C"
119,4,11,"Flowers",7.89,100,2020-11-26 00:00:00.000,"2-A"
120,9,4,"Home Carpets",80.99,30,2020-08-20 00:00:00.000,"2-D"
121,9,4,"Mirrors",8.78,100,2019-03-20 00:00:00.000,"2-B"
122,9,4,"Cushions",23.89,100,2019-03-20 00:00:00.000,"2-B"
123,9,4,"Outdoor Tools",34.56,100,2019-03-20 00:00:00.000,"2-C"
124,3,13,"MultiVitamin Gummies",10.89,170,2019-09-20 00:00:00.000,"1-K"
125,3,13,"College Wellness Essentials Collection",23.99,1000,2019-09-28 00:00:00.000,"1-K"
126,3,13,"Flexible Fabric Bandages",1.99,2300,2020-09-29 00:00:00.000,"1-K"
127,3,13,"Deluxe Safety Kits",27.99,998,2020-07-15 00:00:00.000,"1-L"
128,9,8,"College Ruled Notebook",0.99,3000,2020-05-14 00:00:00.000,"2-D"
129,9,8,"6ct File Folders",4.29,1000,2020-03-23 00:00:00.000,"2-D"
130,9,8," Planner 2021",14.99,245,2020-10-20 00:00:00.000,"2-D"
131,9,8,"WoodCase Pencils",3.99,345,2020-07-05 00:00:00.000,"2-D"
132,3,3,"Suave Hand Sanitizer Unscented",2.99,4500,2020-11-20 00:00:00.000,"1-M"
133,3,3,"Hand and Face Wipes",1.77,3780,2020-11-20 00:00:00.000,"1-M"
134,3,3,"Crest Whitening Toothaste",5.99,1080,2020-03-20 00:00:00.000,"1-M"
135,3,3,"Super Clean ToothBrush",3.49,678,2020-03-20 00:00:00.000,"1-M"
136,3,3,"Face Cleansing Device",24.99,345,2020-05-20 00:00:00.000,"1-N"
137,3,3,"Face Cream Moisturizer",24.99,234,2020-07-05 00:00:00.000,"1-N"
138,2,7,"Vitamin-d Whole Milk",3.29,100,2020-11-26 00:00:00.000,"1-E"
139,2,7,"Vital Farms Large Eggs",5.49,56,2020-11-26 00:00:00.000,"1-E"
140,2,7,"Organic Salted Butter",5.29,45,2020-11-20 00:00:00.000,"1-E"
141,2,7,"SaraLee Bread",2.69,78,2020-11-24 00:00:00.000,"1-E"
142,2,7,"Boneless Chicken",12.22,38,2020-11-25 00:00:00.000,"1-F"
143,2,7,"Apple and Chicken Sausage",3.99,67,2020-11-19 00:00:00.000,"1-F"
144,1,14,"Bose Wireless Headphones",159.99,134,2020-06-27 00:00:00.000,"2-J"
145,1,14,"Bose Noise Cancellation Headphones",300.99,47,2020-06-27 00:00:00.000,"2-J"
146,1,14,"Smart Roku TV",119.99,30,2020-08-14 00:00:00.000,"2-J"
147,1,14,"HP Touchscreen Laptop",399.99,12,2020-11-02 00:00:00.000,"2-K"
148,1,14,"Acer TouchScreen Laptop",499.99,15,2020-11-02 00:00:00.000,"2-K"
149,1,14,"Epson Wireless Printer",69.99,67,2020-08-05 00:00:00.000,"2-L"
150,1,14,"Canon Scanner",79.95,23,2020-08-05 00:00:00.000,"2-L"
151,10,6,"Timberland Womens Shoes",170,30,2020-11-03 00:00:00.000,"2-P"
152,10,6,"Womens Short Winter Boots",39.99,24,2020-11-03 00:00:00.000,"2-P"
153,10,6,"Mens Ankle Rain Boots",44.99,23,2020-11-03 00:00:00.000,"2-Q"
154,10,6,"Mens Fashion Boots",27.99,56,2020-11-03 00:00:00.000,"2-Q"
155,10,6,"Toddlers Winter Boots",29.99,12,2020-10-15 00:00:00.000,"2-S"
156,10,6,"Toddlers Fashion Boots",34.99,56,2020-10-15 00:00:00.000,"1-S"
157,3,5,"Long Sleeve Pullover",12.99,78,2020-11-17 00:00:00.000,"1-P"
158,3,5,"Long Sleeve T-shirt",14.99,45,2020-11-17 00:00:00.000,"1-P"
159,3,5,"Woven Tops",14.99,25,2020-11-17 00:00:00.000,"1-P"
160,3,5,"Fur Jacket",34.99,35,2020-11-17 00:00:00.000,"1-Q"
161,3,5,"Run Shorts",6.8,57,2020-11-17 00:00:00.000,"1-Q"
162,3,5,"Stretch Skinny Jeans",16.99,43,2020-11-17 00:00:00.000,"1-Q"
164,10,1,"shoes",30,176,2020-05-20 00:00:00.000,"1-C"
165,10,2,"slings",30,30,2020-05-20 00:00:00.000,"1-C"
166,10,9,"bathroom brush",30,30,2020-05-20 00:00:00.000,"1-E"
167,10,10,"Non-Stick Pan",30,30,2020-05-20 00:00:00.000,"1-E"
